,dataSet,accuracy,typeI,typeII
0,BeetleFly,0.9299999999999999,0.02,0.12000000000000002
1,MiddlePhalanxOutlineCorrect,0.8213058419243986,0.336,0.060240963855421686
2,ECG200,0.83,0.3055555555555556,0.09375
3,BirdChicken,0.96,0.08,0.0
4,Chinatown,0.9603498542274052,0.02127659574468085,0.046586345381526104
5,DistalPhalanxOutlineCorrect,0.7717391304347826,0.3826086956521739,0.11801242236024845
6,Coffee,0.9785714285714286,0.0,0.046153846153846156
